filename;divider;enhancer;lowbandCompressor;lowbandImpulseNumber;lowbandSeparateExcitation;highbandCompressor;highbandImpulseNumber;highbandSeparateExcitation;PEAQ;PESQ
parole16.WAVSepExc;QMFDivider;DummyEnhancer;DummyCompressor;;;G7231Compressor;16;SepExc;-1.1680581278828255;4.417
parole16.WAVSepExc;QMFDivider;DummyEnhancer;DummyCompressor;;;G7231Compressor;32;SepExc;-0.6540521666411117;4.449
parole16.WAVSepExc;QMFDivider;DummyEnhancer;DummyCompressor;;;G7231Compressor;4;;-2.444361916936458;4.302
parole16.WAVSepExc;QMFDivider;DummyEnhancer;DummyCompressor;;;G7231Compressor;8;;-1.9674804383225162;4.365
parole16.WAVSepExc;QMFDivider;DummyEnhancer;DummyCompressor;;;G7231Compressor;16;;-1.4905827463774912;4.400
parole16.WAVSepExc;QMFDivider;DummyEnhancer;DummyCompressor;;;G7231Compressor;32;;-1.3117683752980365;4.412
parole16.WAVSepExc;QMFDivider;DummyEnhancer;DummyCompressor;;;DummyCompressor;;;-0.4284612586790457;4.451
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;4;SepExc;-3.3939918279754782;2.706
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;8;SepExc;-3.2224474739105903;2.726
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;16;SepExc;-3.11672121538234;2.740
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;32;SepExc;-3.069510467896755;2.750
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;4;;-3.3568137893653628;2.707
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;8;;-3.227508979492253;2.722
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;16;;-3.1730544703440585;2.736
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;G7231Compressor;32;;-3.129181091913616;2.745
